Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
0,true,0,0,2,3,1,g1,left
0,false,1,0,2,3,1,g2,null
0,false,1,1,2,3,1,c1,null
0,false,1,2,2,3,1,c2,null
0,false,1,3,2,3,1,g1,null
0,false,2,0,2,3,1,g2,null
0,false,2,1,2,3,1,c1,null
0,false,2,2,2,3,1,c2,null
0,false,2,3,2,3,1,g1,null
0,false,3,0,2,3,1,c1,null
0,false,3,1,2,3,1,g1,null
0,false,3,2,2,3,1,g2,null
0,false,3,3,2,3,1,c2,null
0,false,4,0,2,3,1,g1,null
0,false,4,1,2,3,1,c1,null
0,false,4,2,2,3,1,c2,null
0,false,4,3,2,3,1,g2,null
0,false,5,0,2,3,1,c1,null
0,false,5,1,2,3,1,g1,null
0,false,5,2,2,3,1,c2,null
0,false,5,3,2,3,1,g2,null
0,false,6,0,2,3,1,c2,null
0,false,6,1,2,3,1,c1,null
0,false,6,2,2,3,1,g1,null
0,false,6,3,2,3,1,g2,null
0,false,7,0,2,3,1,g2,null
0,false,7,1,2,3,1,c1,null
0,false,7,2,2,3,1,c2,null
0,false,7,3,2,3,1,g1,null
0,false,8,0,2,3,1,g1,null
0,false,8,1,2,3,1,g2,null
0,false,8,2,2,3,1,c2,null
0,false,8,3,2,3,1,c1,null
0,false,9,0,2,3,1,g2,null
0,false,9,1,2,3,1,c2,null
0,false,9,2,2,3,1,g1,null
0,false,9,3,2,3,1,c1,null
0,false,10,0,2,3,1,c2,null
0,false,10,1,2,3,1,g1,null
0,false,10,2,2,3,1,c1,null
0,false,10,3,2,3,1,g2,null
0,true,0,0,2,3,0,g1,right
0,false,11,0,2,3,0,c1,null
0,false,11,1,2,3,0,c2,null
0,false,11,2,2,3,0,g2,null
0,false,11,3,2,3,0,g1,null
0,false,12,0,2,3,0,g1,null
0,false,12,1,2,3,0,c2,null
0,false,12,2,2,3,0,g2,null
0,false,12,3,2,3,0,c1,null
0,false,13,0,2,3,0,g1,null
0,false,13,1,2,3,0,g2,null
0,false,13,2,2,3,0,c1,null
0,false,13,3,2,3,0,c2,null
0,false,14,0,2,3,0,c2,null
0,false,14,1,2,3,0,c1,null
0,false,14,2,2,3,0,g1,null
